s,from_country,dest_airport_code,dest_country,aircraft_type,airline_number,airline_name,flight_number,departure_time,arrival_time,duration,stops,price,currency,co2_emissions,avg_co2_emission_for_this_route,co2_percentage,scan_date
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A320|Boeing 787|Airbus A320,multi,[Aer Lingus| British Airways| LATAM],EI166|EI166|EI166|EI166,5/7/2022 13:30,5/8/2022 10:15,1485,3,881,USD,1159000,1194000,-2%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A330|Boeing 787|Airbus A320,multi,[Aer Lingus| Iberia| LATAM],EI166|EI166|EI166|EI166,5/7/2022 13:30,5/8/2022 10:15,1485,3,881,USD,1201000,1194000,0%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A320|Boeing 787|Airbus A320,multi,[Aer Lingus| Iberia| LATAM],EI168|EI168|EI168|EI168,5/7/2022 14:30,5/8/2022 10:15,1425,3,881,USD,1168000,1194000,-2%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A320|Airbus A330|Airbus A320,multi,[Aer Lingus| Iberia| LATAM],EI168|EI168|EI168|EI168,5/7/2022 14:30,5/8/2022 10:15,1425,3,881,USD,1331000,1194000,11%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A330|Airbus A330|Airbus A320,multi,[Aer Lingus| Iberia| LATAM],EI168|EI168|EI168|EI168,5/7/2022 14:30,5/8/2022 10:15,1425,3,881,USD,1364000,1194000,14%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A330|Boeing 787|Airbus A320,multi,[Aer Lingus| Iberia| LATAM],EI168|EI168|EI168|EI168,5/7/2022 14:30,5/8/2022 10:15,1425,3,881,USD,1201000,1194000,0%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A320|Airbus A330|Airbus A320,multi,[Aer Lingus| Iberia| LATAM],EI174|EI174|EI174|EI174,5/7/2022 15:55,5/8/2022 10:15,1340,3,881,USD,1331000,1194000,11%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A320|Airbus A330|Airbus A320,multi,[Aer Lingus| Iberia| LATAM],EI174|EI174|EI174|EI174,5/7/2022 15:55,5/8/2022 16:50,1735,3,881,USD,1331000,1194000,11%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A220-300 Passenger|Embraer 190 E2|Boeing 787|Airbus A320,multi,[SWISS| LATAM],LX407|LX407|LX407|LX407,5/7/2022 08:00,5/8/2022 10:15,1815,3,911,USD,1268000,1194000,6%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A220-300 Passenger|Embraer 190 E2|Boeing 787|Airbus A320,multi,[SWISS| LATAM],LX401|LX401|LX401|LX401,5/7/2022 12:40,5/8/2022 10:15,1535,3,911,USD,1268000,1194000,6%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A220-300 Passenger|Airbus A220-100 Passenger|Boeing 777|Airbus A320,multi,[SWISS| LATAM],LX407|LX407|LX407|LX407,5/7/2022 08:00,5/8/2022 10:15,1815,3,919,USD,1422000,1194000,19%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A220-300 Passenger|Embraer 190|Boeing 777|Airbus A320,multi,[SWISS| LATAM],LX407|LX407|LX407|LX407,5/7/2022 08:00,5/8/2022 10:15,1815,3,919,USD,1437000,1194000,20%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Embraer 195 E2|Boeing 737|Boeing 787|Airbus A320,multi,[KLM| LATAM],KL932|KL932|KL932|KL932,5/7/2022 05:55,5/8/2022 10:15,1940,3,967,USD,1217000,1194000,1%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A321|Airbus A320|Boeing 787|Airbus A320,multi,[Air France| LATAM],AF1017|AF1017|AF1017|AF1017,5/7/2022 06:05,5/8/2022 10:15,1930,3,968,USD,1193000,1194000,0%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A321|Boeing 747|Airbus A320,multi,[Lufthansa| LATAM],LH983|LH983|LH983,5/7/2022 05:55,5/8/2022 10:15,1940,2,980,USD,1296000,1194000,8%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A220-300 Passenger|Airbus A220-300 Passenger|Boeing 787|Airbus A320,multi,[SWISS| LATAM],LX407|LX407|LX407|LX407,5/7/2022 08:00,5/8/2022 10:15,1815,3,989,USD,1333000,1194000,11%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A320|Airbus A330|Airbus A320,multi,[Aer Lingus| British Airways| Iberia| LATAM],EI166|EI166|EI166|EI166,5/7/2022 13:30,5/8/2022 10:15,1485,3,992,USD,1322000,1194000,10%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A321neo|Airbus A350|Airbus A320,multi,[Aer Lingus| British Airways| LATAM],EI152|EI152|EI152,5/7/2022 06:30,5/8/2022 10:15,1905,2,1122,USD,941000,1194000,-21%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A350|Airbus A320,multi,[Aer Lingus| British Airways| LATAM],EI230|EI230|EI230,5/7/2022 07:05,5/8/2022 10:15,1870,2,1139,USD,948000,1194000,-20%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A321|Boeing 777|Airbus A320,multi,[Lufthansa| LATAM],LH983|LH983|LH983,5/7/2022 05:55,5/8/2022 16:50,2335,2,1160,USD,1374000,1194000,15%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Canadair RJ 900|Boeing 777|Airbus A320,multi,[Lufthansa| LATAM],LH977|LH977|LH977,5/7/2022 09:15,5/8/2022 16:50,2135,2,1160,USD,1417000,1194000,18%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Embraer 190|Airbus A350|Airbus A320,multi,[British Airways| LATAM],BA4461|BA4461|BA4461,5/7/2022 07:15,5/8/2022 10:15,1860,2,1167,USD,968000,1194000,-18%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Embraer 190|Embraer 175|Boeing 777|Airbus A320,multi,[KLM| LATAM],KL936|KL936|KL936|KL936,5/7/2022 13:20,5/8/2022 16:50,1890,3,1182,USD,1456000,1194000,21%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320neo|Boeing 777|Airbus A320,multi,[British Airways| LATAM],BA833|BA833|BA833,5/7/2022 09:30,5/8/2022 10:15,1725,2,1195,USD,1257000,1194000,5%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Embraer 190|Boeing 777|Airbus A320,multi,[British Airways| LATAM],BA4461|BA4461|BA4461,5/7/2022 07:15,5/8/2022 10:15,1860,2,1212,USD,1295000,1194000,8%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A319|Airbus A320|Boeing 777|Airbus A320,multi,[Air France| LATAM],AF1817|AF1817|AF1817|AF1817,5/7/2022 14:15,5/8/2022 16:50,1835,3,1212,USD,1388000,1194000,16%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A330|Airbus A320,multi,[Aer Lingus| Iberia| LATAM],EI592|EI592|EI592,5/7/2022 06:20,5/8/2022 10:15,1915,2,1247,USD,1276000,1194000,6%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Boeing 787|Airbus A320,multi,[Aer Lingus| LATAM],EI592|EI592|EI592,5/7/2022 06:20,5/8/2022 10:15,1915,2,1247,USD,1113000,1194000,-6%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A321|Boeing 777|Airbus A320,multi,[Lufthansa| LATAM],LH981|LH981|LH981,5/7/2022 17:50,5/9/2022 16:50,3060,2,1298,USD,1374000,1194000,15%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A321|Boeing 747|Airbus A320,multi,[Lufthansa| LATAM],LH983|LH983|LH983,5/7/2022 05:55,5/8/2022 16:50,2335,2,1323,USD,1296000,1194000,8%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A330|Airbus A320,multi,[Aer Lingus| Iberia| LATAM],EI592|EI592|EI592,5/7/2022 06:20,5/8/2022 16:50,2310,2,1491,USD,1276000,1194000,6%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Boeing 787|Airbus A320,multi,[Aer Lingus| LATAM],EI592|EI592|EI592,5/7/2022 06:20,5/8/2022 16:50,2310,2,1491,USD,1113000,1194000,-6%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A220-300 Passenger|Boeing 777|Airbus A320,multi,[SWISS| LATAM],LX407|LX407|LX407,5/7/2022 08:00,5/8/2022 10:15,1815,2,1624,USD,1389000,1194000,16%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A220-300 Passenger|Boeing 777|Airbus A320,multi,[SWISS| LATAM],LX401|LX401|LX401,5/7/2022 12:40,5/8/2022 10:15,1535,2,1624,USD,1389000,1194000,16%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Canadair RJ 900|Boeing 747|Airbus A320,multi,[Lufthansa| LATAM],LH977|LH977|LH977,5/7/2022 09:15,5/8/2022 10:15,1740,2,1629,USD,1339000,1194000,12%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A321|Boeing 747|Airbus A320,multi,[Lufthansa| LATAM],LH979|LH979|LH979,5/7/2022 12:25,5/8/2022 10:15,1550,2,1629,USD,1296000,1194000,8%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A321|Boeing 747|Airbus A320,multi,[Lufthansa| LATAM],LH981|LH981|LH981,5/7/2022 17:50,5/8/2022 10:15,1225,2,1629,USD,1296000,1194000,8%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A350|Airbus A320,multi,[Aer Lingus| British Airways| LATAM],EI166|EI166|EI166,5/7/2022 13:30,5/8/2022 10:15,1485,2,1737,USD,944000,1194000,-20%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A350|Airbus A320,multi,[Aer Lingus| British Airways| LATAM],EI168|EI168|EI168,5/7/2022 14:30,5/8/2022 10:15,1425,2,1737,USD,944000,1194000,-20%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A350|Airbus A320,multi,[Aer Lingus| British Airways| LATAM],EI174|EI174|EI174,5/7/2022 15:55,5/8/2022 10:15,1340,2,1737,USD,944000,1194000,-20%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A350|Airbus A320,multi,[Aer Lingus| British Airways| LATAM],EI176|EI176|EI176,5/7/2022 17:00,5/8/2022 10:15,1275,2,1737,USD,944000,1194000,-20%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A350|Airbus A320,multi,[Aer Lingus| British Airways| LATAM],EI178|EI178|EI178,5/7/2022 18:00,5/8/2022 10:15,1215,2,1737,USD,944000,1194000,-20%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A350|Airbus A320,multi,[Aer Lingus| British Airways| LATAM],EI182|EI182|EI182,5/7/2022 19:00,5/8/2022 10:15,1155,2,1737,USD,944000,1194000,-20%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Boeing 787|Airbus A320,multi,[Iberia| LATAM],IB3791|IB3791|IB3791,5/7/2022 18:05,5/8/2022 10:15,1210,2,1754,USD,1105000,1194000,-7%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A330|Airbus A320,multi,[Iberia| LATAM],IB3791|IB3791|IB3791,5/7/2022 18:05,5/8/2022 10:15,1210,2,1754,USD,1268000,1194000,6%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Boeing 787|Airbus A320,multi,[Iberia| LATAM],IB3791|IB3791|IB3791,5/7/2022 18:05,5/8/2022 16:50,1605,2,1754,USD,1105000,1194000,-7%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Canadair RJ 900|Boeing 777|Airbus A320,multi,[Lufthansa| LATAM],LH977|LH977|LH977,5/7/2022 09:15,5/8/2022 10:15,1740,2,1756,USD,1417000,1194000,18%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Embraer 190|Embraer 190|Boeing 787|Airbus A320,multi,[KLM| LATAM],KL936|KL936|KL936|KL936,5/7/2022 13:20,5/8/2022 16:50,1890,3,1771,USD,1312000,1194000,9%,4/29/2022 17:52
